chrom	position	cpg_set	tissue	state_raw	state_group	input_set
chr1	30667284	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	31595289	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	32644760	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	33734388	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	35586453	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	35914081	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	37944257	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	38227381	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	38317368	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	38940901	concordant	Blood_PBMC	12_EnhBiv	Bivalent	ALL
chr1	39196971	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	39255317	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	39301897	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	39491459	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	39794285	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	40361053	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	41851836	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	42147810	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	43672232	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	44877746	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	44877749	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	45189875	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	46645697	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	46915541	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	46954407	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	47918060	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	47923504	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	48342535	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	48403714	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	51634267	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	52499691	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	52889575	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	53072410	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	53098421	concordant	Blood_PBMC	1_TssA	Active promoter	ALL
chr1	53925299	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	53925306	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	54144343	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	54206706	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	54514785	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	54514815	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	54771989	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	56453730	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	59510738	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	59617037	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	59774250	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	60018296	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	60392785	concordant	Blood_PBMC	10_TssBiv	Bivalent	ALL
chr1	62072468	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	64558474	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	68256161	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	68515977	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	71172486	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	74174660	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	75004809	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	79472532	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	79663392	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	80621258	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	82951578	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	85883665	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	86094825	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	87666926	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	91870713	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	94485118	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	95059316	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	95064909	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	95064974	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	95698924	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	95698954	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	98404032	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	98512171	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	100515842	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr1	101406949	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	103574958	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	108023486	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	108329088	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	109134372	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	109455881	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	110306591	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	111062033	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	112171744	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	112280233	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	114336683	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	114457061	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	115213259	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	117061545	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	118221263	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	118232811	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	120530251	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	150476785	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	151538433	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	151634662	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	151702254	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	151798760	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	153762372	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	154163225	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	154810653	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	155025301	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	155952959	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	156222098	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	156646065	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	156830284	concordant	Blood_PBMC	11_BivFlnk	Bivalent	ALL
chr1	156864023	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	157117910	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	157740155	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	159269203	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	159796629	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	160140283	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	160680856	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	162357962	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	164561550	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	164723567	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	166877200	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	167517766	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	167523769	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	168249767	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	169081894	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	171853856	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	171973557	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	173248759	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	175857819	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	178452552	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	179050387	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	179050404	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	180993237	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	181075666	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	182376239	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	182400136	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	183799423	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	185422726	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	186373891	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	198902062	concordant	Blood_PBMC	1_TssA	Active promoter	ALL
chr1	200341447	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	201458737	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	201852945	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	203198777	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	203320223	concordant	Blood_PBMC	12_EnhBiv	Bivalent	ALL
chr1	205447371	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	205766600	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	205909935	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	206316676	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	207096358	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	207120407	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	207925112	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	208060281	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	209780966	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	209877382	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	210407677	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr1	212829508	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	214006138	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	219346843	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	220267054	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	220469794	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	221165593	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	226631442	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	228352940	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr1	228560439	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	229123641	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	229475308	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	230238754	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	230415547	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	230415668	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr1	231451695	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	231842206	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	232122557	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	234792752	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr1	236017185	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr1	236273181	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	236557670	concordant	Blood_PBMC	10_TssBiv	Bivalent	ALL
chr1	240448059	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	240693433	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	241814813	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr1	242224772	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	245107131	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	245971380	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr1	249116587	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr10	2267540	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	3497811	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	3822379	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr10	5406890	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	5406901	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	5406907	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	5592777	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	6195471	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	7311500	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	8636489	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	11621903	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	11688619	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	12119756	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	14551091	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	14614200	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	14630459	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	15902887	concordant	Blood_PBMC	1_TssA	Active promoter	ALL
chr10	18278949	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	21814313	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	27235260	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	30799883	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	33776188	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	35736855	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	43366622	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	43535387	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	46090716	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	48421468	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	48441101	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	49460249	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	51784543	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr10	54683341	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	60759348	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	62073066	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	63510622	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	64602858	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	67115126	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	69807458	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	70816700	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	72451501	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	73330457	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	73486251	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	74113178	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	74448039	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	74653102	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	75193254	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	75506596	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr10	75523308	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	75577627	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	75935758	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	76144671	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	76686668	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	77291162	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	79669928	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	81010572	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	81167525	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	81967272	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	81967281	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	81967284	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	82178406	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	82363213	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	86087948	concordant	Blood_PBMC	1_TssA	Active promoter	ALL
chr10	87676204	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	88727830	concordant	Blood_PBMC	12_EnhBiv	Bivalent	ALL
chr10	90650347	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	90686467	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	91043087	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	93786890	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	93786975	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	94180753	concordant	Blood_PBMC	10_TssBiv	Bivalent	ALL
chr10	94785998	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	95035291	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	95654551	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	97146550	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	97415476	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	99120971	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	99337734	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	99734120	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	100680681	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	101803648	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	102288810	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	102746534	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	102990855	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr10	103603990	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	104211488	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	104353395	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	105212808	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	105253117	concordant	Blood_PBMC	11_BivFlnk	Bivalent	ALL
chr10	105253152	concordant	Blood_PBMC	11_BivFlnk	Bivalent	ALL
chr10	105458366	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	105603022	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	106013826	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	106013865	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr10	111665780	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	112170261	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	114119952	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	114325410	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	114497611	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	114574891	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	114575681	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	115311837	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	115311953	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	116116509	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	116282534	concordant	Blood_PBMC	2_TssAFlnk	Active promoter	ALL
chr10	116287249	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	116424135	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	118885753	concordant	Blood_PBMC	13_ReprPC	Polycomb repressed	ALL
chr10	120495050	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	120935712	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr10	124300969	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	125651726	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	126053180	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	126290192	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	127373048	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	127836603	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	129208406	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	131695114	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	134050027	concordant	Blood_PBMC	5_TxWk	Tran- scription	ALL
chr10	134222581	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr10	134794563	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	134795548	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr10	134844217	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	134853084	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr10	135015587	concordant	Blood_PBMC	15_Quies	Quiescent	ALL
chr11	331179	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr11	457304	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr11	691457	concordant	Blood_PBMC	6_EnhG	Enhancer	ALL
chr11	1325784	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr11	1325852	concordant	Blood_PBMC	4_Tx	Tran- scription	ALL
chr11	1871101	concordant	Blood_PBMC	7_Enh	Enhancer	ALL
chr11	1940611	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
chr11	1940624	concordant	Blood_PBMC	14_ReprPCWk	Polycomb repressed	ALL
